Vivado Simulator 2018.1
Time resolution is 1 ps
Iniciando simulaci鏮CLK_100MHZ iniciado
聲gulo =                     0, 00b60b60, Xout =  32765, Yout =      2
聲gulo =                   270, c0b60b60, Xout =      2, Yout =  32765
聲gulo =                   271, c16c16c1, Xout =    574, Yout =  32757
聲gulo =                   272, c2222222, Xout =   1146, Yout =  32743
聲gulo =                   273, c2d82d82, Xout =   1714, Yout =  32718
聲gulo =                   274, c38e38e3, Xout =   2288, Yout =  32685
聲gulo =                   275, c4444444, Xout =   2857, Yout =  32639
聲gulo =                   276, c4fa4fa4, Xout =   3425, Yout =  32585
聲gulo =                   277, c5b05b05, Xout =   3993, Yout =  32522
聲gulo =                   278, c6666666, Xout =   4560, Yout =  32445
聲gulo =                   279, c71c71c7, Xout =   5124, Yout =  32362
聲gulo =                   280, c7d27d27, Xout =   5690, Yout =  32266
聲gulo =                   281, c8888888, Xout =   6251, Yout =  32163
聲gulo =                   282, c93e93e9, Xout =   6815, Yout =  32046
聲gulo =                   283, c9f49f49, Xout =   7368, Yout =  31924
聲gulo =                   284, caaaaaaa, Xout =   7927, Yout =  31790
聲gulo =                   285, cb60b60b, Xout =   8478, Yout =  31651
聲gulo =                   286, cc16c16c, Xout =   9034, Yout =  31493
聲gulo =                   287, cccccccc, Xout =   9575, Yout =  31335
聲gulo =                   288, cd82d82d, Xout =  10121, Yout =  31164
聲gulo =                   289, ce38e38e, Xout =  10666, Yout =  30979
聲gulo =                   290, ceeeeeee, Xout =  11208, Yout =  30785
聲gulo =                   291, cfa4fa4f, Xout =  11743, Yout =  30587
聲gulo =                   292, d05b05b0, Xout =  12277, Yout =  30377
聲gulo =                   293, d1111111, Xout =  12799, Yout =  30162
聲gulo =                   294, d1c71c71, Xout =  13325, Yout =  29934
聲gulo =                   295, d27d27d2, Xout =  13847, Yout =  29698
聲gulo =                   296, d3333333, Xout =  14365, Yout =  29448
聲gulo =                   297, d3e93e93, Xout =  14876, Yout =  29193
聲gulo =                   298, d49f49f4, Xout =  15384, Yout =  28929
聲gulo =                   299, d5555555, Xout =  15886, Yout =  28656
聲gulo =                   300, d60b60b6, Xout =  16383, Yout =  28377
聲gulo =                   301, d6c16c16, Xout =  16875, Yout =  28085
聲gulo =                   302, d7777777, Xout =  17364, Yout =  27787
聲gulo =                   303, d82d82d8, Xout =  17849, Yout =  27473
聲gulo =                   304, d8e38e38, Xout =  18320, Yout =  27162
聲gulo =                   305, d9999999, Xout =  18794, Yout =  26839
聲gulo =                   306, da4fa4fa, Xout =  19256, Yout =  26508
聲gulo =                   307, db05b05b, Xout =  19719, Yout =  26165
聲gulo =                   308, dbbbbbbb, Xout =  20172, Yout =  25819
聲gulo =                   309, dc71c71c, Xout =  20619, Yout =  25462
聲gulo =                   310, dd27d27d, Xout =  21061, Yout =  25100
聲gulo =                   311, dddddddd, Xout =  21493, Yout =  24728
聲gulo =                   312, de93e93e, Xout =  21924, Yout =  24348
聲gulo =                   313, df49f49f, Xout =  22342, Yout =  23964
聲gulo =                   314, e0000000, Xout =  22758, Yout =  23570
聲gulo =                   315, e0b60b60, Xout =  23168, Yout =  23167
聲gulo =                   316, e16c16c1, Xout =  23570, Yout =  22758
聲gulo =                   317, e2222222, Xout =  23964, Yout =  22342
聲gulo =                   318, e2d82d82, Xout =  24348, Yout =  21924
聲gulo =                   319, e38e38e3, Xout =  24728, Yout =  21493
聲gulo =                   320, e4444444, Xout =  25100, Yout =  21061
聲gulo =                   321, e4fa4fa4, Xout =  25462, Yout =  20619
聲gulo =                   322, e5b05b05, Xout =  25819, Yout =  20172
聲gulo =                   323, e6666666, Xout =  26165, Yout =  19719
聲gulo =                   324, e71c71c7, Xout =  26508, Yout =  19256
聲gulo =                   325, e7d27d27, Xout =  26839, Yout =  18794
聲gulo =                   326, e8888888, Xout =  27162, Yout =  18320
聲gulo =                   327, e93e93e9, Xout =  27473, Yout =  17849
聲gulo =                   328, e9f49f49, Xout =  27787, Yout =  17364
聲gulo =                   329, eaaaaaaa, Xout =  28085, Yout =  16875
聲gulo =                   330, eb60b60b, Xout =  28377, Yout =  16383
聲gulo =                   331, ec16c16c, Xout =  28656, Yout =  15886
聲gulo =                   332, eccccccc, Xout =  28929, Yout =  15384
聲gulo =                   333, ed82d82d, Xout =  29193, Yout =  14876
聲gulo =                   334, ee38e38e, Xout =  29448, Yout =  14365
聲gulo =                   335, eeeeeeee, Xout =  29698, Yout =  13847
聲gulo =                   336, efa4fa4f, Xout =  29934, Yout =  13325
聲gulo =                   337, f05b05b0, Xout =  30162, Yout =  12799
聲gulo =                   338, f1111111, Xout =  30377, Yout =  12277
聲gulo =                   339, f1c71c71, Xout =  30587, Yout =  11743
聲gulo =                   340, f27d27d2, Xout =  30785, Yout =  11208
聲gulo =                   341, f3333333, Xout =  30979, Yout =  10666
聲gulo =                   342, f3e93e93, Xout =  31164, Yout =  10121
聲gulo =                   343, f49f49f4, Xout =  31335, Yout =   9575
聲gulo =                   344, f5555555, Xout =  31493, Yout = 
